2024-02-29 18:55:50.611  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-bfb3b5f52ed542f6ca6d4df4d4012ff9 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.611  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-ebd3a90a837af8b66e1e6ab6853d29c9 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.611  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-df1c9c9aff277a747a27ed4b8b8ba1e8 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.611  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-abd0ce8bafca9eb496cdeb74f65d13e2 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.612  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-fd8ef1cc7e685c6bbe3ba024607c0f7b Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.612  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-1de4de29a5a50d48a351d8a98a560472 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.612  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-1ab860337bdf1adc47c5c6522a2a4ec4 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.612  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-0dd4c712d7b63df3a3a00a12d28993cb Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.612  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-cfe3f4704d2f4e5ad65772a59bba271c Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.612  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-f0f54366312fed452a218cf83e4aec8b Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.613  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-58db950d913572ee1874fcf55a0084fb Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.613  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-e5c4b8f3495e457dc587081589a5be2f Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.613  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-0346b4bc5ab60a5289cf0654913e1dae Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.613  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-ae889337a65e9cf175029ad26b4e6948 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.613  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-d5df66f3b5405aea18555600a82bb56b Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.615  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-de8b1b16bf7fc819d19afc7a4fb7cd64 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.615  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-5b2d81637df812d225efc033c6865093 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.615  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-21532e4d0d5a45f8e34c2ecc469be9da Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.616  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-e480d10cd83b9312c4ce5c29bcd5d00d Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.616  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-1529be5106fca1451d30541241290b5c Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.616  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-3f014ec78d60c8e840948d1ae8dc9479 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.616  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-a05f91378dcc7dfa7f8749aa5499da67 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.617  INFO 1 --- [       Thread-3] cws.scheduler.scheduler.Scheduler        : Assign pod: nf-0112d6ebdb92640b8f731a8aaaed18da to node: cpu10
2024-02-29 18:55:50.623  INFO 1 --- [       Thread-3] cws.scheduler.scheduler.Scheduler        : Assigned pod to:cpu10
2024-02-29 18:55:50.817  INFO 1 --- [/10.233.0.1/...] cws.scheduler.client.KubernetesClient    : Node cpu02 was modified
2024-02-29 18:55:51.186  INFO 1 --- [/10.233.0.1/...] cws.scheduler.client.KubernetesClient    : Pod has released its resources: nf-4fde832f901f2bba21f7351849cf8ba3
2024-02-29 18:55:51.186  INFO 1 --- [       Thread-3] cws.scheduler.scheduler.Scheduler        : ------------------------------------
Node: cpu10 Requirements(cpu=13.715, ram=3116914688)
Node: cpu09 Requirements(cpu=13.715, ram=3116926976)
Node: cpu08 Requirements(cpu=19.615, ram=26202335232)
Node: cpu07 Requirements(cpu=31.060, ram=134028341248)
Node: cpu06 Requirements(cpu=31.090, ram=134072025088)
Node: cpu03 Requirements(cpu=19.715, ram=26739206144)
Node: cpu02 Requirements(cpu=13.685, ram=3053029376)
Node: cpu01 Requirements(cpu=29.715, ram=129812294144)
------------------------------------
